Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,Starch,"Alcohol, ethyl",Water,Caffeine,Theobromine,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Fluoride, F","Manganese, Mn","Selenium, Se","Vitamin A, RAE","Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,"Tocopherol, beta","Tocopherol, gamma","Tocopherol, delta","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, gamma","Tocotrienol, delta","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,"Choline, total",Vitamin K (phylloquinone),Betaine,Cholesterol,"Sugars, Total",cat_Baby Foods,cat_Baked Products,cat_Beef Products,cat_Beverages,cat_Breakfast Cereals,cat_Cereal Grains and Pasta,cat_Dairy and Egg Products,cat_Fast Foods,cat_Fats and Oils,cat_Finfish and Shellfish Products,cat_Fruits and Fruit Juices,"cat_Lamb, Veal, and Game Products",cat_Legumes and Legume Products,"cat_Meals, Entrees, and Side Dishes",cat_Nut and Seed Products,cat_Pork Products,cat_Poultry Products,cat_Restaurant Foods,cat_Sausages and Luncheon Meats,cat_Snacks,"cat_Soups, Sauces, and Gravies",cat_Spices and Herbs,cat_Sweets,cat_Vegetables and Vegetable Products
26.52,4.68,5.16,1.63,0.0,0.0,62.01,0.0,0.0,0.0,6.0,6.17,22.0,485.0,351.0,77.0,5.23,14.588,5.0,0.356,32.8,7744.0,182.0,11.0,0.46,1.2,21.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.7,0.177,3.425,17.475,6.943,1.027,260.0,83.13,418.2,3.9,6.3,381.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.2,2.5,0.0,0.98,0.0,0.0,79.38,0.0,0.0,0.0,10.0,7.95,14.0,224.0,340.0,198.0,1.61,0.26,0.0,0.019,44.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.047,0.23,4.0,1.0,0.04,11.0,3.81,0.0,0.0,0.0,242.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.4,3.7,0.0,1.1,0.0,0.0,76.4,0.0,0.0,0.0,11.0,5.4,10.0,178.0,173.0,101.0,1.64,0.221,0.0,0.015,50.3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,0.035,0.143,2.492,0.623,0.02,8.0,2.59,0.0,0.0,0.0,277.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.97,23.52,0.0,2.14,0.0,0.0,59.39,0.0,0.0,0.0,485.0,5.67,17.0,324.0,277.0,57.0,3.58,0.056,0.0,0.012,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.118,2.546,0.279,0.29,5.0,2.56,0.0,0.0,0.0,209.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.16,9.12,0.0,1.14,0.0,0.0,61.71,0.0,0.0,0.0,14.0,3.23,15.0,274.0,371.0,57.0,3.91,0.103,0.0,0.009,26.8,6.0,0.0,0.0,0.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.425,6.133,0.408,0.712,7.0,4.48,66.5,1.6,9.1,85.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.53,8.41,0.0,1.15,0.0,0.0,61.74,0.0,0.0,0.0,14.0,3.47,20.0,275.0,376.0,61.0,4.52,0.098,0.0,0.009,27.0,2.0,0.0,0.0,0.33,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.424,5.996,0.476,0.736,7.0,4.39,74.6,1.6,12.7,91.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.65,8.8,0.0,1.3,0.0,0.0,60.97,0.0,0.0,0.0,24.0,1.83,26.0,239.0,381.0,63.0,5.44,0.082,0.0,0.01,32.4,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.155,7.744,0.585,0.65,9.0,1.54,112.9,1.5,14.8,87.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.55,5.79,0.0,1.31,0.0,0.0,62.98,0.0,0.0,0.0,20.0,1.96,26.0,244.0,393.0,64.0,5.71,0.091,0.0,0.011,35.8,0.0,0.0,0.0,0.39,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.155,8.741,0.601,0.656,10.0,1.71,116.3,1.4,15.3,82.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.29,6.55,0.0,1.27,0.0,0.0,62.38,0.0,0.0,0.0,17.0,2.07,26.0,237.0,380.0,63.0,5.75,0.097,0.0,0.011,35.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.155,8.937,0.595,0.63,10.0,1.89,115.4,1.4,15.2,83.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.8,5.03,0.0,1.35,0.0,0.0,63.58,0.0,0.0,0.0,22.0,1.92,27.0,253.0,410.0,66.0,5.7,0.085,0.0,0.011,38.9,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.163,9.001,0.607,0.681,10.0,1.47,117.3,1.4,15.4,81.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.16,10.32,0.0,1.05,0.0,0.0,61.05,0.0,0.0,0.0,19.0,3.22,23.0,224.0,291.0,68.0,4.67,0.073,0.0,0.004,28.2,7.0,0.0,0.0,0.24,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.26,6.033,0.0,0.692,7.0,2.16,65.9,1.5,9.0,82.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.07,11.18,0.0,1.28,0.0,0.0,60.38,0.0,0.0,0.0,6.0,3.24,25.0,211.0,328.0,69.0,5.06,0.143,0.0,0.016,20.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.25,4.63,0.34,0.4,8.0,2.27,99.3,0.0,0.0,62.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.51,12.8,0.0,1.17,0.0,0.0,59.13,0.0,0.0,0.0,6.0,3.24,25.0,211.0,301.0,69.0,5.06,0.143,0.0,0.016,20.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.25,4.63,0.34,0.4,8.0,2.27,97.2,0.0,0.0,91.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.61,5.41,0.0,1.03,0.0,0.0,71.46,0.0,0.0,0.0,19.0,2.26,11.0,200.0,266.0,43.0,3.52,0.075,0.0,0.003,21.4,4.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,5.325,0.0,0.751,4.0,1.98,0.0,1.2,0.0,57.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.92,8.76,0.0,1.1,0.0,0.0,62.16,0.0,0.0,0.0,20.0,3.44,23.0,227.0,292.0,67.0,4.8,0.076,0.0,0.003,27.7,2.0,0.0,0.0,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,5.745,0.0,0.628,7.0,2.19,61.2,0.0,8.0,78.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.22,6.5,0.0,1.01,0.0,0.0,70.73,0.0,0.0,0.0,21.0,1.66,11.0,200.0,267.0,42.0,3.88,0.058,0.0,0.003,22.8,2.0,0.0,0.0,0.26,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.215,5.751,0.358,0.638,4.0,1.81,56.1,1.2,9.6,59.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.86,10.37,0.0,1.05,0.0,0.0,61.15,0.0,0.0,0.0,18.0,3.57,21.0,219.0,290.0,67.0,4.61,0.073,0.0,0.004,29.3,2.0,0.0,0.0,0.23,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.254,6.109,0.323,0.757,7.0,1.96,63.2,1.5,8.6,82.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.98,9.61,0.0,1.17,0.0,0.0,62.5,0.0,0.0,0.0,4.0,3.66,26.0,215.0,327.0,71.0,5.11,0.143,0.0,0.016,10.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.25,4.63,0.33,0.39,8.0,2.27,99.0,0.0,0.0,83.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.41,5.34,0.0,1.02,0.0,0.0,71.86,0.0,0.0,0.0,23.0,1.77,12.0,214.0,284.0,57.0,4.01,0.054,0.0,0.002,21.8,2.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.2,5.73,0.375,0.644,4.0,1.84,58.9,1.2,9.5,59.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.16,7.73,0.0,0.99,0.0,0.0,71.4,0.0,0.0,0.0,15.0,1.78,21.0,191.0,309.0,51.0,3.68,0.089,0.0,0.012,24.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.139,6.127,0.589,0.595,11.0,1.71,84.2,1.2,0.0,63.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.8,6.28,0.0,1.01,0.0,0.0,72.62,0.0,0.0,0.0,23.0,1.59,22.0,196.0,327.0,58.0,3.75,0.087,0.0,0.012,24.1,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.111,6.107,0.589,0.618,11.0,1.24,86.9,1.2,0.0,61.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.93,6.05,0.0,1.19,0.0,0.0,63.87,0.0,0.0,0.0,21.0,1.84,26.0,242.0,392.0,63.0,5.46,0.081,0.0,0.011,37.3,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.159,8.748,0.59,0.661,10.0,1.43,0.0,1.4,0.0,95.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.09,3.77,0.0,1.29,0.0,0.0,64.28,0.0,0.0,0.0,18.0,3.25,17.0,306.0,435.0,75.0,5.15,0.066,0.0,0.005,30.8,3.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.328,8.975,0.497,0.882,5.0,2.28,90.1,1.5,15.4,86.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.86,15.54,0.0,1.04,0.0,0.0,59.36,0.0,0.0,0.0,37.0,2.41,20.0,194.0,308.0,92.0,5.82,0.066,0.0,0.012,19.2,3.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.177,5.034,0.593,0.332,10.0,2.79,70.1,2.8,9.1,84.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.38,18.66,0.0,0.97,0.0,0.0,55.85,0.0,0.0,0.0,35.0,2.25,19.0,185.0,275.0,81.0,6.14,0.069,0.0,0.009,21.5,3.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.176,4.537,0.658,0.336,11.0,2.9,77.8,3.0,10.1,88.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.35,30.0,0.0,0.7,0.0,0.0,54.3,0.0,0.0,0.0,24.0,1.64,14.0,132.0,218.0,66.0,3.57,0.05,0.0,0.009,13.5,4.0,0.0,0.0,0.17,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.151,3.382,0.395,0.278,9.0,2.07,46.8,2.9,8.5,78.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.71,8.54,0.21,0.92,0.0,0.0,70.62,0.0,0.0,0.0,11.0,2.43,20.0,186.0,329.0,77.0,7.76,0.078,0.0,0.014,21.5,2.0,0.0,0.0,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.19,3.34,0.74,0.43,3.0,3.32,72.8,1.5,23.7,68.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.15,9.23,0.0,1.13,0.0,0.0,62.11,0.0,0.0,0.0,14.0,3.14,23.0,224.0,390.0,87.0,9.82,0.126,0.0,0.016,31.4,2.0,0.0,0.0,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.313,4.34,1.025,0.404,7.0,5.18,105.3,1.6,19.9,95.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.39,5.73,0.0,1.25,0.0,0.0,73.35,0.0,0.0,0.0,12.0,2.51,20.0,211.0,346.0,87.0,7.9,0.099,0.0,0.011,23.8,2.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.28,4.15,1.01,0.392,3.0,4.42,78.7,1.5,16.1,71.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.47,5.11,0.0,1.03,0.0,0.0,72.7,0.0,0.0,0.0,13.0,2.06,24.0,222.0,362.0,83.0,5.21,0.07,0.0,0.002,24.6,2.0,0.0,0.0,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.165,6.353,0.725,0.622,3.0,1.81,63.7,1.5,12.5,67.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.28,5.75,0.0,1.0,0.0,0.0,72.21,0.0,0.0,0.0,13.0,2.04,24.0,224.0,367.0,82.0,5.15,0.073,0.0,0.002,22.9,2.0,0.0,0.0,0.17,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.165,6.452,0.68,0.617,3.0,1.73,65.1,1.5,13.9,67.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.74,4.14,0.0,1.07,0.0,0.0,73.43,0.0,0.0,0.0,13.0,2.08,24.0,218.0,353.0,85.0,5.3,0.066,0.0,0.002,27.1,2.0,0.0,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.165,6.205,0.77,0.63,3.0,1.95,62.2,1.5,11.1,69.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.51,12.26,0.0,1.02,0.0,0.0,60.31,0.0,0.0,0.0,14.0,3.11,22.0,217.0,374.0,84.0,9.4,0.13,0.0,0.015,30.3,6.0,0.0,0.0,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079,0.305,4.194,0.952,0.38,7.0,4.94,101.8,1.6,20.2,92.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.18,11.48,0.0,0.97,0.0,0.0,68.8,0.0,0.0,0.0,17.0,2.08,19.0,189.0,332.0,81.0,7.52,0.061,0.0,0.01,20.6,4.0,0.0,0.0,0.19,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.145,4.324,0.614,0.383,3.0,2.73,63.5,1.5,25.3,69.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.14,12.02,0.0,0.98,0.0,0.0,68.26,0.0,0.0,0.0,17.0,2.08,19.0,186.0,310.0,80.0,7.54,0.059,0.0,0.009,20.0,4.0,0.0,0.0,0.21,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.141,4.323,0.553,0.365,3.0,2.69,62.5,1.5,26.5,67.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.25,10.67,0.0,0.95,0.0,0.0,69.61,0.0,0.0,0.0,18.0,2.12,19.0,187.0,367.0,82.0,7.66,0.066,0.0,0.01,22.4,4.0,0.0,0.0,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.155,4.56,0.675,0.414,3.0,2.78,64.5,1.5,24.2,73.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.06,15.09,0.0,1.04,0.0,0.0,58.68,0.0,0.0,0.0,13.0,2.11,20.0,174.0,262.0,51.0,4.89,0.068,0.0,0.026,26.9,3.0,0.0,0.0,0.28,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.179,5.124,0.461,0.451,7.0,1.58,78.1,1.4,11.6,85.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.42,19.06,0.56,0.88,0.0,0.0,61.08,0.0,0.0,0.0,6.0,1.7,19.0,177.0,282.0,69.0,3.71,0.071,0.0,0.013,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.15,3.48,0.31,0.38,6.0,2.25,76.9,0.0,11.3,68.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.85,24.5,0.0,0.92,0.0,0.0,49.58,0.0,0.0,0.0,7.0,2.46,20.0,207.0,251.0,64.0,5.77,0.104,0.0,0.015,22.8,0.0,0.0,0.0,0.19,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.2,3.27,0.31,0.26,7.0,2.4,98.5,1.9,0.0,93.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.94,22.18,0.0,0.81,0.0,0.0,59.07,0.0,0.0,0.0,16.0,1.59,18.0,165.0,276.0,59.0,4.32,0.077,0.0,0.011,19.4,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.13,4.041,0.516,0.425,10.0,1.54,74.9,1.7,11.0,92.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.12,19.22,0.0,0.92,0.0,0.0,50.45,0.0,0.0,0.0,17.0,2.53,20.0,183.0,242.0,50.0,6.98,0.104,22.4,0.01,28.3,0.0,0.0,0.0,0.53,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.178,4.273,0.594,0.295,9.0,2.22,114.7,1.9,15.1,120.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.14,18.57,0.0,0.87,0.0,0.0,61.78,0.0,0.0,0.0,16.0,1.73,19.0,171.0,290.0,63.0,4.56,0.082,0.0,0.013,19.9,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.143,4.328,0.559,0.425,10.0,1.79,79.9,1.6,11.8,89.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.2,19.93,0.0,0.93,0.0,0.0,49.35,0.0,0.0,0.0,16.0,2.61,20.0,182.0,241.0,49.0,6.87,0.116,22.4,0.01,27.8,0.0,0.0,0.0,0.54,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.193,4.215,0.595,0.29,9.0,2.46,115.0,1.9,15.1,121.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.33,17.39,0.0,0.85,0.0,0.0,62.88,0.0,0.0,0.0,18.0,1.61,19.0,176.0,290.0,62.0,4.52,0.08,0.0,0.01,20.8,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.135,4.334,0.548,0.486,10.0,1.5,80.7,1.6,11.9,93.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.37,27.26,0.0,0.87,0.0,0.0,46.32,0.0,0.0,0.0,13.0,3.08,19.0,198.0,230.0,64.0,8.23,0.124,0.0,0.015,24.5,0.0,0.0,0.0,0.21,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.24,2.41,0.31,0.26,5.0,2.27,100.4,2.0,0.0,103.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.37,17.33,0.0,0.84,0.0,0.0,62.83,0.0,0.0,0.0,10.0,2.07,17.0,164.0,276.0,69.0,5.07,0.074,0.0,0.013,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.17,2.2,0.29,0.36,5.0,3.44,72.6,0.0,10.7,71.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.33,22.35,0.0,0.89,0.0,0.0,49.4,0.0,0.0,0.0,13.0,3.2,20.0,206.0,237.0,66.0,8.65,0.129,0.0,0.016,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.25,2.46,0.32,0.26,5.0,2.31,104.1,0.0,13.7,104.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.65,8.46,0.0,1.0,0.0,0.0,64.79,0.0,0.0,0.0,19.0,2.47,22.0,210.0,344.0,80.0,9.73,0.078,0.0,0.014,27.3,2.0,0.0,0.0,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.193,4.693,0.725,0.409,6.0,3.24,79.5,1.6,27.8,83.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.34,27.93,0.0,0.77,0.0,0.0,53.85,0.0,0.0,0.0,9.0,1.72,16.0,154.0,267.0,54.0,3.66,0.058,0.0,0.012,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.13,2.78,0.31,0.31,5.0,2.79,68.2,0.0,10.0,71.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.26,28.5,0.0,1.03,0.0,0.0,47.33,0.0,0.0,0.0,11.0,2.18,20.0,178.0,313.0,63.0,5.23,0.081,0.0,0.013,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.17,3.25,0.32,0.27,6.0,2.87,84.8,0.0,11.1,82.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.6,29.79,0.0,0.98,0.0,0.0,46.87,0.0,0.0,0.0,11.0,2.35,20.0,176.0,302.0,64.0,5.4,0.084,0.0,0.013,22.4,0.0,0.0,0.0,0.24,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.17,3.43,0.31,0.23,7.0,2.55,86.1,2.0,0.0,84.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.75,23.95,0.0,0.79,0.0,0.0,57.48,0.0,0.0,0.0,9.0,1.77,17.0,159.0,278.0,55.0,3.79,0.059,0.0,0.012,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.13,2.85,0.31,0.32,5.0,2.86,70.0,0.0,10.3,70.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.57,33.7,0.0,0.91,0.0,0.0,43.4,0.0,0.0,0.0,11.0,2.17,20.0,175.0,304.0,65.0,5.39,0.083,0.0,0.013,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.18,3.4,0.36,0.26,7.0,2.56,0.0,0.0,0.0,85.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.26,27.29,0.0,0.76,0.0,0.0,54.51,0.0,0.0,0.0,8.0,1.71,16.0,153.0,260.0,55.0,3.75,0.059,0.0,0.012,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.13,2.61,0.33,0.29,5.0,2.71,0.0,0.0,0.0,71.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
