Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,Starch,"Alcohol, ethyl",Water,Caffeine,Theobromine,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Fluoride, F","Manganese, Mn","Selenium, Se","Vitamin A, RAE","Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,"Tocopherol, beta","Tocopherol, gamma","Tocopherol, delta","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, gamma","Tocotrienol, delta","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,"Choline, total",Vitamin K (phylloquinone),Betaine,Cholesterol,"Sugars, Total",cat_Baby Foods,cat_Baked Products,cat_Beef Products,cat_Beverages,cat_Breakfast Cereals,cat_Cereal Grains and Pasta,cat_Dairy and Egg Products,cat_Fast Foods,cat_Fats and Oils,cat_Finfish and Shellfish Products,cat_Fruits and Fruit Juices,"cat_Lamb, Veal, and Game Products",cat_Legumes and Legume Products,"cat_Meals, Entrees, and Side Dishes",cat_Nut and Seed Products,cat_Pork Products,cat_Poultry Products,cat_Restaurant Foods,cat_Sausages and Luncheon Meats,cat_Snacks,"cat_Soups, Sauces, and Gravies",cat_Spices and Herbs,cat_Sweets,cat_Vegetables and Vegetable Products
2.17,11.5,44.54,0.7,15.4,0.0,41.09,0.0,0.0,1.6,14.0,0.91,8.0,29.0,76.0,200.0,0.19,0.148,0.0,0.233,2.2,18.0,10.0,0.0,0.96,0.0,11.0,1.0,42.0,0.07,4.89,1.55,0.02,0.0,0.0,0.0,5.7,0.193,0.067,1.094,0.096,0.039,21.0,0.0,17.0,16.4,8.4,0.0,22.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.52,28.74,46.79,1.17,41.7,0.0,17.78,0.0,0.0,1.4,20.0,2.26,15.0,68.0,91.0,353.0,0.46,0.079,0.0,0.476,4.5,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.12,8.59,2.54,0.04,0.0,0.0,0.0,0.0,0.227,0.143,2.5,0.36,0.047,77.0,0.0,0.0,15.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.8,10.1,45.68,2.8,0.0,0.0,35.62,10.0,89.0,1.5,357.0,6.4,16.0,272.0,74.0,529.0,0.4,0.221,0.0,0.393,13.1,429.0,0.0,0.0,0.0,0.1,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.49,5.7,0.218,0.57,75.0,1.7,15.9,9.3,0.0,21.0,13.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.15,23.38,64.43,2.72,55.4,0.0,3.32,0.0,0.0,5.8,76.0,1.53,76.0,203.0,237.0,657.0,1.23,0.148,0.0,0.363,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.094,1.553,0.191,0.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.12,17.12,47.84,2.44,16.0,0.0,25.48,0.0,0.0,0.7,73.0,0.98,11.0,200.0,350.0,510.0,0.8,0.03,0.0,0.24,13.3,141.0,81.0,0.0,0.96,0.3,1.0,0.0,41.0,0.09,6.9,3.49,0.02,0.0,0.04,0.0,0.0,0.02,0.08,1.2,0.7,0.04,33.0,0.35,36.5,11.2,0.0,59.0,24.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.06,17.45,51.29,1.82,25.2,0.0,22.38,0.0,0.0,1.7,46.0,2.2,19.0,300.0,210.0,390.0,0.62,0.03,0.0,0.26,13.5,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.77,7.7,3.79,0.0,0.0,0.0,0.0,0.0,0.07,0.18,4.7,0.55,0.05,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.48,18.5,47.76,0.99,24.65,0.0,27.26,0.0,0.0,2.2,14.0,2.12,15.0,56.0,103.0,231.0,0.42,0.079,0.0,0.265,17.5,0.0,17.0,0.0,0.95,0.0,3.0,348.0,14.0,0.12,6.81,2.43,0.0,0.0,0.0,0.0,0.0,0.19,0.117,2.493,0.27,0.053,0.0,0.0,0.0,12.5,0.0,10.0,17.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.25,13.35,64.35,2.12,57.8,0.0,5.93,0.0,0.0,3.8,16.0,5.66,39.0,145.0,124.0,665.0,1.17,0.155,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.01,20.37,64.55,3.62,51.87,0.0,4.45,0.0,0.0,2.4,26.0,7.38,25.0,98.0,129.0,1148.0,0.66,0.111,0.0,0.778,9.5,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.37,5.38,2.01,0.04,1.05,0.97,0.32,0.0,0.298,0.24,5.08,0.462,0.065,149.0,0.46,0.0,17.9,0.0,0.0,9.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.19,19.5,64.88,3.95,51.1,0.0,4.48,0.0,0.0,2.4,734.0,6.64,28.0,100.0,117.0,752.0,4.11,0.113,0.0,0.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,10.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.66,2.15,43.91,3.69,27.25,0.0,39.6,0.0,0.0,9.2,684.0,4.89,26.0,103.0,127.0,478.0,0.95,0.149,0.0,0.634,16.1,0.0,2.0,0.0,0.38,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.255,4.455,0.455,0.08,127.0,0.0,8.1,7.7,0.0,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.2,1.53,48.89,1.82,0.0,0.0,37.55,0.0,0.0,4.1,20.0,2.76,51.0,142.0,165.0,439.0,1.1,0.175,24.1,1.43,28.7,0.0,2.0,0.0,0.32,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.209,3.37,0.375,0.147,76.0,0.0,9.8,1.5,21.6,0.0,6.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.41,18.52,37.43,1.0,0.0,0.0,38.64,0.0,0.0,0.9,35.0,0.95,10.0,71.0,68.0,265.0,0.45,0.06,0.0,0.224,15.5,23.0,1.0,0.0,0.95,0.3,1.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.241,1.908,0.471,0.041,66.0,0.17,44.2,6.7,11.5,66.0,22.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.01,7.58,49.27,2.71,40.2,0.0,32.43,0.0,0.0,2.4,163.0,3.32,21.0,213.0,133.0,742.0,0.57,0.115,20.0,0.516,21.9,0.0,0.0,0.0,0.86,0.0,0.0,0.0,12.0,0.06,2.32,0.58,0.01,0.05,0.0,0.0,0.0,0.487,0.124,4.191,0.283,0.028,118.0,0.0,6.8,4.2,45.4,0.0,2.66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.2,25.6,11.0,6.8,0.0,0.0,23.36,0.0,0.0,1.8,20.0,5.42,51.0,407.0,597.0,1785.0,8.11,0.227,0.0,0.111,10.7,0.0,0.0,0.0,0.49,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.142,1.732,0.163,0.179,134.0,0.99,109.1,2.3,0.0,48.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
